source_id,ra,dec,parallax,parallax_error,phot_g_mean_mag,bp_rp,parallax_over_error,num_selected_g_fov,G_abs
489686607446126208,65.67422977761373,67.29146160802205,1.6383122032325754,0.18094687,18.541155,1.6478233,9.054106,103,9.613138192348792
490343432502035968,62.36734974928329,66.81217323974231,3.938478618221545,0.17269528,17.118078,1.753933,22.805943,96,10.094720692068867
5865554583253353856,207.88736591302072,-62.123555154150495,1.7069361927947646,0.2620127,17.85266,1.5826988,6.5147076,81,9.013745660460298
6058469224122959872,180.29098953194801,-61.79453526568106,1.7925405568429715,0.22640307,18.204435,1.8039856,7.9174747,50,9.47178030107143
5865695350790673280,205.51499827266304,-62.122198635722924,3.0229917200177256,0.5313375,18.028324,1.7974377,5.6894,50,10.430508915425854
6058382568838142464,188.13768076414,-59.66759977615711,4.372707733150643,0.42983437,18.086647,1.5204163,10.173006,62,11.290399286501046
6058403700110684800,186.92340619590624,-59.83717467386039,1.4888819076985063,0.16644071,18.74291,1.8958263,8.945419,59,9.607211648006967
4050498517796048896,272.58238290948117,-29.467343830613096,2.177884055423245,0.33509573,18.192505,1.1774673,6.4992895,25,9.882678659750066
4050529647732127616,272.3936563409317,-29.066233788980156,1.3432293393219223,0.24798498,18.467505,1.328167,5.4165754,26,9.108255347630228
4050472816653319040,273.41011451594613,-29.290441009812067,1.0049786400769363,0.19103764,17.85913,1.2721767,5.2606316,29,7.869915015942107
4050488308676654848,273.19489308062316,-29.19314470978284,1.3120673246063403,0.2549414,18.453241,1.3246975,5.1465445,26,9.043021948597701
4050488656549254656,273.16100031273055,-29.15203260408123,1.3824770458390396,0.22632417,18.441715,1.7721176,6.108393,27,9.145004886299986
4050506244523796096,272.6417540162484,-29.31847107569501,1.399258446268245,0.2593833,18.413313,1.5918007,5.3945584,25,9.14280259746242
4050526692740085120,272.40270557334105,-29.16001022824872,1.3690198082200369,0.17351453,17.610605,1.3991585,7.889943,29,8.292653899597365
4050510539488517120,272.54474369398304,-29.25363240805478,7.898448167185953,1.1130284,18.763348,1.6807289,7.0963583,25,13.251056488114749
4050510543710150528,272.5538030476476,-29.25907078326894,2.8198687673199316,0.4731188,18.41466,1.2619934,5.9601707,26,10.66580398683416
4367903541565885952,257.49949083848514,-1.5716476971763886,1.660728378322462,0.3233728,18.078312,1.5728779,5.1356463,48,9.179804954662535
4107529670527010688,259.45403882849286,-28.54712657019669,2.5829359612686944,0.38548508,18.634409,2.067751,6.7004824,59,10.69497714502417
5340834992739848320,166.26418362753165,-56.27740784022224,2.0256838806910595,0.33927995,18.05279,1.3465538,5.970538,48,9.585648049245265
4107530323362488704,259.40269668864704,-28.566700101475313,6.224060941848688,0.94991565,19.276209,2.0193253,6.5522246,25,13.246578059183584
4107603956328573696,258.3190766881058,-28.857273931996822,6.365638542143337,1.0255289,19.560785,1.2740917,6.207176,32,13.579995166536108
4107604265477943296,258.2845123768692,-28.8454066488857,4.189660046459876,0.53241205,16.992764,1.8668928,7.869206,41,10.103657445650509
4107575815698338176,258.3012961471089,-28.997265209320304,1.795488927349691,0.21264343,18.080456,1.8238544,8.443661,44,9.351369436067808
4107546816041946496,259.2660103196318,-28.44455891337596,2.2145241602301358,0.3932676,19.248873,1.7196064,5.6310873,54,10.975274870731104
5340868493473094528,167.47095631616216,-56.21416369237806,2.3044827135450214,0.29110682,18.080492,1.2625465,7.9162784,44,9.89335929330302
4107563617966547200,259.3871628828871,-28.020054205926765,3.0219770875824112,0.27204686,18.613117,1.6554146,11.108296,56,11.014573054144044
4368353340609239936,258.8625687980176,-1.0735372559738654,1.3537070926666108,0.13002597,17.874962,1.2117271,10.411052,44,8.532585374921133
4107579011051524352,258.0668959444389,-28.966088051243972,1.7443731053030445,0.1882149,18.062624,1.7998772,9.267986,42,9.27082088822379
4107535511697309312,259.3549074986995,-28.40988721865517,9.550743967251819,1.3103037,20.197245,1.2643986,7.2889547,29,15.097430658255332
5340873647410082304,167.58094714358037,-56.206403857634356,2.051380528580708,0.25324816,17.899937,1.125267,8.100278,41,9.460167820709641
4107535649126079872,259.3848828005372,-28.3953548136937,2.967402906333509,0.56168675,19.680525,1.6845627,5.283021,53,12.042407414589967
4107547808128881920,259.3219115645403,-28.347523498695782,1.9675118276944155,0.28093365,18.169018,1.5322227,7.003475,61,9.638604550745942
4107580900939305856,258.169079258604,-28.91466401581883,4.00004406130038,0.575188,19.722563,1.6630707,6.954325,33,12.732886665899592
4107597393524027648,258.03976777161387,-28.774385681654408,2.385624558086623,0.37114504,17.7871,1.6441822,6.427742,49,9.675110322478936
4107540734423558656,259.77022346158793,-28.304464288079444,5.15582352497148,1.0080167,19.978926,1.819458,5.1148195,37,13.540415923845107
5977592481647582720,255.72930405468145,-35.67851416843752,2.246854104574753,0.31516242,19.056473,1.8780785,7.1291943,42,10.814347144342948
5977598288446613376,255.41851118275588,-35.69504833151993,5.1872904871949785,0.53382534,18.423,1.97785,9.717206,41,11.997703181072307
5977575507987463936,255.08016346496626,-35.87582437122003,5.536347371489328,0.65193844,19.457247,1.871561,8.492132,39,13.173363438350787
5977635843665210240,254.63366651401,-35.744438237353975,5.921203463153525,1.0689796,20.523838,1.6865673,5.5391173,25,14.385887965585123
5977640031228265216,254.70139009858897,-35.523055254658125,2.302152800309087,0.45433012,17.805973,1.7737904,5.067137,46,9.616643780917322
4114237344238411136,259.4841118468229,-23.3320728054235,2.4072928566163005,0.39458832,19.477747,1.6086483,6.1007705,40,11.385391599080108
4114204221437988864,259.3121422128696,-23.5354705748986,8.68350428042368,1.0405884,19.689943,1.6887989,8.344802,35,14.383418427111199
4114176012127014272,258.6037462520664,-23.48643308291798,3.2824957077703125,0.50527,17.605864,1.396141,6.4965186,42,10.186884405533775
4114206592258968192,259.40608784298513,-23.574571600084106,4.760496773310285,0.45390502,17.726213,1.5361652,10.48787,46,11.114474830830108
4114110793024978432,258.3938905794276,-24.141371508667895,3.7306457379287785,0.64897144,19.505072,1.764946,5.748552,33,12.363991692016654
4114243803871934080,259.92487521790764,-23.139145288608685,3.0440537473883342,0.5083108,18.815655,1.7000351,5.9885683,45,11.232916336110485
4114177794507321472,258.8049533617539,-23.372755728530663,1.3002140321472482,0.23802057,18.80346,1.8483982,5.462612,40,9.37353341105098
4161364435523652480,264.8664429629286,-13.999624938460979,1.3971922978799043,0.23423652,18.649296,1.7727013,5.964878,48,9.375576721352534
4114260292239064320,259.2722196509903,-23.3373678893701,1.5570685831439073,0.24974728,18.501541,1.8872471,6.2345767,42,9.46307984801496
4161341796746913152,264.5273512123566,-14.130454797062374,2.773568849604425,0.21986443,18.188402,2.039177,12.614905,57,10.403596931127865
4071396522913906560,281.93734684562276,-29.203408501359675,3.082875929172052,0.5977961,19.5476,1.2313061,5.1570697,25,11.992380026621932
4161350352326244864,264.203183448832,-14.141349159092538,1.2282201889153328,0.18766865,18.107195,1.472208,6.544621,59,8.553576059695821
4071558460364804992,280.3031683055999,-28.967532851101023,2.1340828457135066,0.36479858,19.253218,1.1003284,5.8500304,26,10.899274071409264
4071422052232848768,281.98747891678653,-28.888724404305297,1.8349600362815326,0.36299136,15.86808,1.1143599,5.0551066,25,7.1862131899715305
4071577461343886336,280.91363847742383,-28.771574051788527,2.5178601945106514,0.44187373,18.029627,1.3194237,5.698144,27,10.034784906391526
4071372333688205568,281.50176074263055,-28.949275797101226,1.133056889209747,0.1929249,17.410564,1.2098465,5.8730464,30,7.681823001269592
1965943596680613504,323.55271042159364,39.93108731307941,3.0706602198753155,0.41059276,18.20414,1.3935413,7.478603,45,10.64029852337605
